order_id,category,state
C494738,medium_chinstrap,active
C921807,small_disposable,active
C300581,big_tubing,active
C032306,small_mask,active
C963278,medium_headgear,active
C126767,small_headgear,deleted
C212550,unknown_headgear,active
C663390,unknown_tubing,deleted
C289566,medium_tubing,active
C145137,medium_pillows,active
C967824,big_mask,active
C165687,small_chinstrap,active
C732380,small_pillows,active
C696253,big_disposable,active
C313224,unknown_chinstrap,active
C439738,medium_mask,active
C069987,big_pillows,deleted
C222487,medium_disposable,active
C424294,big_chinstrap,active
C035962,small_tubing,active
C628944,big_headgear,active
